estimator_age_min,estimator_start_min,outage_duration_min,outage_start_min,outage_end_min,replicate_index,scenario_seed
5.0,55.0,15.0,60.0,75.0,0,170700
30.0,30.0,15.0,60.0,75.0,0,170700
60.0,0.0,15.0,60.0,75.0,0,170700
5.0,55.0,30.0,60.0,90.0,0,170700
30.0,30.0,30.0,60.0,90.0,0,170700
60.0,0.0,30.0,60.0,90.0,0,170700
5.0,55.0,15.0,60.0,75.0,1,170701
30.0,30.0,15.0,60.0,75.0,1,170701
60.0,0.0,15.0,60.0,75.0,1,170701
5.0,55.0,30.0,60.0,90.0,1,170701
30.0,30.0,30.0,60.0,90.0,1,170701
60.0,0.0,30.0,60.0,90.0,1,170701
5.0,55.0,15.0,60.0,75.0,2,170702
30.0,30.0,15.0,60.0,75.0,2,170702
60.0,0.0,15.0,60.0,75.0,2,170702
5.0,55.0,30.0,60.0,90.0,2,170702
30.0,30.0,30.0,60.0,90.0,2,170702
60.0,0.0,30.0,60.0,90.0,2,170702
5.0,55.0,15.0,60.0,75.0,3,170703
30.0,30.0,15.0,60.0,75.0,3,170703
60.0,0.0,15.0,60.0,75.0,3,170703
5.0,55.0,30.0,60.0,90.0,3,170703
30.0,30.0,30.0,60.0,90.0,3,170703
60.0,0.0,30.0,60.0,90.0,3,170703
5.0,55.0,15.0,60.0,75.0,4,170704
30.0,30.0,15.0,60.0,75.0,4,170704
60.0,0.0,15.0,60.0,75.0,4,170704
5.0,55.0,30.0,60.0,90.0,4,170704
30.0,30.0,30.0,60.0,90.0,4,170704
60.0,0.0,30.0,60.0,90.0,4,170704
5.0,55.0,15.0,60.0,75.0,5,170705
30.0,30.0,15.0,60.0,75.0,5,170705
60.0,0.0,15.0,60.0,75.0,5,170705
5.0,55.0,30.0,60.0,90.0,5,170705
30.0,30.0,30.0,60.0,90.0,5,170705
60.0,0.0,30.0,60.0,90.0,5,170705
5.0,55.0,15.0,60.0,75.0,6,170706
30.0,30.0,15.0,60.0,75.0,6,170706
60.0,0.0,15.0,60.0,75.0,6,170706
5.0,55.0,30.0,60.0,90.0,6,170706
30.0,30.0,30.0,60.0,90.0,6,170706
60.0,0.0,30.0,60.0,90.0,6,170706
5.0,55.0,15.0,60.0,75.0,7,170707
30.0,30.0,15.0,60.0,75.0,7,170707
60.0,0.0,15.0,60.0,75.0,7,170707
5.0,55.0,30.0,60.0,90.0,7,170707
30.0,30.0,30.0,60.0,90.0,7,170707
60.0,0.0,30.0,60.0,90.0,7,170707
