maturity_name,estimator_age_min,estimator_start_min,outage_start_min,outage_end_min,outage_duration_min,initial_true_anomaly_deg,replicate_index,scenario_seed
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,0,170500
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,0,170500
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,0,170500
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,0,170500
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,0,170500
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,1,170501
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,1,170501
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,1,170501
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,1,170501
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,1,170501
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,2,170502
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,2,170502
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,2,170502
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,2,170502
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,2,170502
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,3,170503
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,3,170503
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,3,170503
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,3,170503
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,3,170503
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,4,170504
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,4,170504
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,4,170504
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,4,170504
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,4,170504
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,5,170505
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,5,170505
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,5,170505
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,5,170505
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,5,170505
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,6,170506
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,6,170506
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,6,170506
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,6,170506
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,6,170506
AGE_05MIN,5.0,55.0,60.0,75.0,15.0,0.0,7,170507
AGE_15MIN,15.0,45.0,60.0,75.0,15.0,0.0,7,170507
AGE_30MIN,30.0,30.0,60.0,75.0,15.0,0.0,7,170507
AGE_45MIN,45.0,15.0,60.0,75.0,15.0,0.0,7,170507
AGE_60MIN,60.0,0.0,60.0,75.0,15.0,0.0,7,170507
