phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed
PHASE_000,0.0,0,170300
PHASE_045,45.0,0,170300
PHASE_090,90.0,0,170300
PHASE_135,135.0,0,170300
PHASE_180,180.0,0,170300
PHASE_225,225.0,0,170300
PHASE_270,270.0,0,170300
PHASE_315,315.0,0,170300
PHASE_000,0.0,1,170301
PHASE_045,45.0,1,170301
PHASE_090,90.0,1,170301
PHASE_135,135.0,1,170301
PHASE_180,180.0,1,170301
PHASE_225,225.0,1,170301
PHASE_270,270.0,1,170301
PHASE_315,315.0,1,170301
PHASE_000,0.0,2,170302
PHASE_045,45.0,2,170302
PHASE_090,90.0,2,170302
PHASE_135,135.0,2,170302
PHASE_180,180.0,2,170302
PHASE_225,225.0,2,170302
PHASE_270,270.0,2,170302
PHASE_315,315.0,2,170302
PHASE_000,0.0,3,170303
PHASE_045,45.0,3,170303
PHASE_090,90.0,3,170303
PHASE_135,135.0,3,170303
PHASE_180,180.0,3,170303
PHASE_225,225.0,3,170303
PHASE_270,270.0,3,170303
PHASE_315,315.0,3,170303
PHASE_000,0.0,4,170304
PHASE_045,45.0,4,170304
PHASE_090,90.0,4,170304
PHASE_135,135.0,4,170304
PHASE_180,180.0,4,170304
PHASE_225,225.0,4,170304
PHASE_270,270.0,4,170304
PHASE_315,315.0,4,170304
PHASE_000,0.0,5,170305
PHASE_045,45.0,5,170305
PHASE_090,90.0,5,170305
PHASE_135,135.0,5,170305
PHASE_180,180.0,5,170305
PHASE_225,225.0,5,170305
PHASE_270,270.0,5,170305
PHASE_315,315.0,5,170305
PHASE_000,0.0,6,170306
PHASE_045,45.0,6,170306
PHASE_090,90.0,6,170306
PHASE_135,135.0,6,170306
PHASE_180,180.0,6,170306
PHASE_225,225.0,6,170306
PHASE_270,270.0,6,170306
PHASE_315,315.0,6,170306
PHASE_000,0.0,7,170307
PHASE_045,45.0,7,170307
PHASE_090,90.0,7,170307
PHASE_135,135.0,7,170307
PHASE_180,180.0,7,170307
PHASE_225,225.0,7,170307
PHASE_270,270.0,7,170307
PHASE_315,315.0,7,170307
