timing_name,outage_start_min,outage_end_min,outage_duration_min,initial_true_anomaly_deg,replicate_index,scenario_seed
OUTAGE_015_030,15.0,30.0,15.0,0.0,0,170400
OUTAGE_030_045,30.0,45.0,15.0,0.0,0,170400
OUTAGE_045_060,45.0,60.0,15.0,0.0,0,170400
OUTAGE_060_075,60.0,75.0,15.0,0.0,0,170400
OUTAGE_075_090,75.0,90.0,15.0,0.0,0,170400
OUTAGE_090_105,90.0,105.0,15.0,0.0,0,170400
OUTAGE_105_120,105.0,120.0,15.0,0.0,0,170400
OUTAGE_120_135,120.0,135.0,15.0,0.0,0,170400
OUTAGE_015_030,15.0,30.0,15.0,0.0,1,170401
OUTAGE_030_045,30.0,45.0,15.0,0.0,1,170401
OUTAGE_045_060,45.0,60.0,15.0,0.0,1,170401
OUTAGE_060_075,60.0,75.0,15.0,0.0,1,170401
OUTAGE_075_090,75.0,90.0,15.0,0.0,1,170401
OUTAGE_090_105,90.0,105.0,15.0,0.0,1,170401
OUTAGE_105_120,105.0,120.0,15.0,0.0,1,170401
OUTAGE_120_135,120.0,135.0,15.0,0.0,1,170401
OUTAGE_015_030,15.0,30.0,15.0,0.0,2,170402
OUTAGE_030_045,30.0,45.0,15.0,0.0,2,170402
OUTAGE_045_060,45.0,60.0,15.0,0.0,2,170402
OUTAGE_060_075,60.0,75.0,15.0,0.0,2,170402
OUTAGE_075_090,75.0,90.0,15.0,0.0,2,170402
OUTAGE_090_105,90.0,105.0,15.0,0.0,2,170402
OUTAGE_105_120,105.0,120.0,15.0,0.0,2,170402
OUTAGE_120_135,120.0,135.0,15.0,0.0,2,170402
OUTAGE_015_030,15.0,30.0,15.0,0.0,3,170403
OUTAGE_030_045,30.0,45.0,15.0,0.0,3,170403
OUTAGE_045_060,45.0,60.0,15.0,0.0,3,170403
OUTAGE_060_075,60.0,75.0,15.0,0.0,3,170403
OUTAGE_075_090,75.0,90.0,15.0,0.0,3,170403
OUTAGE_090_105,90.0,105.0,15.0,0.0,3,170403
OUTAGE_105_120,105.0,120.0,15.0,0.0,3,170403
OUTAGE_120_135,120.0,135.0,15.0,0.0,3,170403
OUTAGE_015_030,15.0,30.0,15.0,0.0,4,170404
OUTAGE_030_045,30.0,45.0,15.0,0.0,4,170404
OUTAGE_045_060,45.0,60.0,15.0,0.0,4,170404
OUTAGE_060_075,60.0,75.0,15.0,0.0,4,170404
OUTAGE_075_090,75.0,90.0,15.0,0.0,4,170404
OUTAGE_090_105,90.0,105.0,15.0,0.0,4,170404
OUTAGE_105_120,105.0,120.0,15.0,0.0,4,170404
OUTAGE_120_135,120.0,135.0,15.0,0.0,4,170404
OUTAGE_015_030,15.0,30.0,15.0,0.0,5,170405
OUTAGE_030_045,30.0,45.0,15.0,0.0,5,170405
OUTAGE_045_060,45.0,60.0,15.0,0.0,5,170405
OUTAGE_060_075,60.0,75.0,15.0,0.0,5,170405
OUTAGE_075_090,75.0,90.0,15.0,0.0,5,170405
OUTAGE_090_105,90.0,105.0,15.0,0.0,5,170405
OUTAGE_105_120,105.0,120.0,15.0,0.0,5,170405
OUTAGE_120_135,120.0,135.0,15.0,0.0,5,170405
OUTAGE_015_030,15.0,30.0,15.0,0.0,6,170406
OUTAGE_030_045,30.0,45.0,15.0,0.0,6,170406
OUTAGE_045_060,45.0,60.0,15.0,0.0,6,170406
OUTAGE_060_075,60.0,75.0,15.0,0.0,6,170406
OUTAGE_075_090,75.0,90.0,15.0,0.0,6,170406
OUTAGE_090_105,90.0,105.0,15.0,0.0,6,170406
OUTAGE_105_120,105.0,120.0,15.0,0.0,6,170406
OUTAGE_120_135,120.0,135.0,15.0,0.0,6,170406
OUTAGE_015_030,15.0,30.0,15.0,0.0,7,170407
OUTAGE_030_045,30.0,45.0,15.0,0.0,7,170407
OUTAGE_045_060,45.0,60.0,15.0,0.0,7,170407
OUTAGE_060_075,60.0,75.0,15.0,0.0,7,170407
OUTAGE_075_090,75.0,90.0,15.0,0.0,7,170407
OUTAGE_090_105,90.0,105.0,15.0,0.0,7,170407
OUTAGE_105_120,105.0,120.0,15.0,0.0,7,170407
OUTAGE_120_135,120.0,135.0,15.0,0.0,7,170407
