scenario_id,scenario_index,altitude_km,inclination_deg,initial_true_anomaly_deg,eccentricity,raan_deg,argument_of_periapsis_deg
AURORA17_000,0,400.0,0.0,0.0,0.01,40.0,30.0
AURORA17_001,1,400.0,0.0,60.0,0.01,40.0,30.0
AURORA17_002,2,400.0,0.0,120.0,0.01,40.0,30.0
AURORA17_003,3,400.0,0.0,180.0,0.01,40.0,30.0
AURORA17_004,4,400.0,0.0,240.0,0.01,40.0,30.0
AURORA17_005,5,400.0,0.0,300.0,0.01,40.0,30.0
AURORA17_006,6,400.0,30.0,0.0,0.01,40.0,30.0
AURORA17_007,7,400.0,30.0,60.0,0.01,40.0,30.0
AURORA17_008,8,400.0,30.0,120.0,0.01,40.0,30.0
AURORA17_009,9,400.0,30.0,180.0,0.01,40.0,30.0
AURORA17_010,10,400.0,30.0,240.0,0.01,40.0,30.0
AURORA17_011,11,400.0,30.0,300.0,0.01,40.0,30.0
AURORA17_012,12,400.0,60.0,0.0,0.01,40.0,30.0
AURORA17_013,13,400.0,60.0,60.0,0.01,40.0,30.0
AURORA17_014,14,400.0,60.0,120.0,0.01,40.0,30.0
AURORA17_015,15,400.0,60.0,180.0,0.01,40.0,30.0
AURORA17_016,16,400.0,60.0,240.0,0.01,40.0,30.0
AURORA17_017,17,400.0,60.0,300.0,0.01,40.0,30.0
AURORA17_018,18,400.0,75.0,0.0,0.01,40.0,30.0
AURORA17_019,19,400.0,75.0,60.0,0.01,40.0,30.0
AURORA17_020,20,400.0,75.0,120.0,0.01,40.0,30.0
AURORA17_021,21,400.0,75.0,180.0,0.01,40.0,30.0
AURORA17_022,22,400.0,75.0,240.0,0.01,40.0,30.0
AURORA17_023,23,400.0,75.0,300.0,0.01,40.0,30.0
AURORA17_024,24,400.0,90.0,0.0,0.01,40.0,30.0
AURORA17_025,25,400.0,90.0,60.0,0.01,40.0,30.0
AURORA17_026,26,400.0,90.0,120.0,0.01,40.0,30.0
AURORA17_027,27,400.0,90.0,180.0,0.01,40.0,30.0
AURORA17_028,28,400.0,90.0,240.0,0.01,40.0,30.0
AURORA17_029,29,400.0,90.0,300.0,0.01,40.0,30.0
AURORA17_030,30,400.0,97.6,0.0,0.01,40.0,30.0
AURORA17_031,31,400.0,97.6,60.0,0.01,40.0,30.0
AURORA17_032,32,400.0,97.6,120.0,0.01,40.0,30.0
AURORA17_033,33,400.0,97.6,180.0,0.01,40.0,30.0
AURORA17_034,34,400.0,97.6,240.0,0.01,40.0,30.0
AURORA17_035,35,400.0,97.6,300.0,0.01,40.0,30.0
AURORA17_036,36,550.0,0.0,0.0,0.01,40.0,30.0
AURORA17_037,37,550.0,0.0,60.0,0.01,40.0,30.0
AURORA17_038,38,550.0,0.0,120.0,0.01,40.0,30.0
AURORA17_039,39,550.0,0.0,180.0,0.01,40.0,30.0
AURORA17_040,40,550.0,0.0,240.0,0.01,40.0,30.0
AURORA17_041,41,550.0,0.0,300.0,0.01,40.0,30.0
AURORA17_042,42,550.0,30.0,0.0,0.01,40.0,30.0
AURORA17_043,43,550.0,30.0,60.0,0.01,40.0,30.0
AURORA17_044,44,550.0,30.0,120.0,0.01,40.0,30.0
AURORA17_045,45,550.0,30.0,180.0,0.01,40.0,30.0
AURORA17_046,46,550.0,30.0,240.0,0.01,40.0,30.0
AURORA17_047,47,550.0,30.0,300.0,0.01,40.0,30.0
AURORA17_048,48,550.0,60.0,0.0,0.01,40.0,30.0
