outage_duration_min,outage_start_min,outage_end_min,post_recovery_end_min,estimator_start_min,initial_true_anomaly_deg,replicate_index,scenario_seed
5.0,60.0,65.0,80.0,0.0,0.0,0,170600
10.0,60.0,70.0,85.0,0.0,0.0,0,170600
15.0,60.0,75.0,90.0,0.0,0.0,0,170600
20.0,60.0,80.0,95.0,0.0,0.0,0,170600
30.0,60.0,90.0,105.0,0.0,0.0,0,170600
5.0,60.0,65.0,80.0,0.0,0.0,1,170601
10.0,60.0,70.0,85.0,0.0,0.0,1,170601
15.0,60.0,75.0,90.0,0.0,0.0,1,170601
20.0,60.0,80.0,95.0,0.0,0.0,1,170601
30.0,60.0,90.0,105.0,0.0,0.0,1,170601
5.0,60.0,65.0,80.0,0.0,0.0,2,170602
10.0,60.0,70.0,85.0,0.0,0.0,2,170602
15.0,60.0,75.0,90.0,0.0,0.0,2,170602
20.0,60.0,80.0,95.0,0.0,0.0,2,170602
30.0,60.0,90.0,105.0,0.0,0.0,2,170602
5.0,60.0,65.0,80.0,0.0,0.0,3,170603
10.0,60.0,70.0,85.0,0.0,0.0,3,170603
15.0,60.0,75.0,90.0,0.0,0.0,3,170603
20.0,60.0,80.0,95.0,0.0,0.0,3,170603
30.0,60.0,90.0,105.0,0.0,0.0,3,170603
5.0,60.0,65.0,80.0,0.0,0.0,4,170604
10.0,60.0,70.0,85.0,0.0,0.0,4,170604
15.0,60.0,75.0,90.0,0.0,0.0,4,170604
20.0,60.0,80.0,95.0,0.0,0.0,4,170604
30.0,60.0,90.0,105.0,0.0,0.0,4,170604
5.0,60.0,65.0,80.0,0.0,0.0,5,170605
10.0,60.0,70.0,85.0,0.0,0.0,5,170605
15.0,60.0,75.0,90.0,0.0,0.0,5,170605
20.0,60.0,80.0,95.0,0.0,0.0,5,170605
30.0,60.0,90.0,105.0,0.0,0.0,5,170605
5.0,60.0,65.0,80.0,0.0,0.0,6,170606
10.0,60.0,70.0,85.0,0.0,0.0,6,170606
15.0,60.0,75.0,90.0,0.0,0.0,6,170606
20.0,60.0,80.0,95.0,0.0,0.0,6,170606
30.0,60.0,90.0,105.0,0.0,0.0,6,170606
5.0,60.0,65.0,80.0,0.0,0.0,7,170607
10.0,60.0,70.0,85.0,0.0,0.0,7,170607
15.0,60.0,75.0,90.0,0.0,0.0,7,170607
20.0,60.0,80.0,95.0,0.0,0.0,7,170607
30.0,60.0,90.0,105.0,0.0,0.0,7,170607
