redundancy_mode,fault_magnitude_m,samples,fdir_detection_rate,fdir_acceptance_rate,mean_satellites,mean_pdop,mean_chi2_ratio,mean_residual_rms_m,mean_residual_max_abs_m
FIVE_SAT,0.0,300,0.33333333333333337,99.66666666666667,5.0,2.0893001113588268,0.1385050931979032,1.0382580112261446,1.5494176692391435
FIVE_SAT,5.0,300,1.3333333333333335,98.66666666666667,5.0,2.089300028650305,0.1929112428454905,1.2399681455887845,1.8596088444441556
FIVE_SAT,10.0,300,7.666666666666666,92.33333333333333,5.0,2.0892999459420043,0.3331390019278439,1.6138300097048364,2.4239391021430494
FIVE_SAT,20.0,300,24.666666666666668,75.33333333333333,5.0,2.0892997805260682,0.8710594146595438,2.4987303074991956,3.74826317196091
FIVE_SAT,50.0,300,49.666666666666664,50.33333333333333,5.0,2.08929928428358,4.544541001829189,5.475661504404368,8.204053817652166
FULL,0.0,300,0.0,100.0,13.12,1.0449986916866671,0.4157923487578766,2.4292830664892717,4.8096838759134215
FULL,5.0,300,3.0,100.0,13.12,1.0449986786705425,0.5084059510735347,2.680064211908324,5.432725579651693
FULL,10.0,300,25.666666666666664,100.0,13.12,1.0449986656544203,0.7865791182536092,3.3496609332221228,7.66944193854928
FULL,20.0,300,94.0,100.0,13.12,1.0449986396221829,1.8996041629395688,5.269415001034503,14.550633168021838
FULL,50.0,300,100.0,100.0,13.12,1.0449985615255288,9.692109260955538,12.015392468879963,36.34383479431271
