redundancy_mode,fault_magnitude_m,samples,fdir_detection_rate,ai_detection_rate,ai_minus_fdir,mean_ai_score
FULL,0.0,100,0.0,4.0,4.0,0.4699231859796841
FULL,5.0,100,3.0,16.0,13.0,0.49423615899229373
FULL,10.0,100,28.999999999999996,54.0,25.000000000000004,0.5710156778194598
FULL,20.0,100,96.0,99.0,3.0,0.689374434401479
FULL,50.0,100,100.0,100.0,0.0,0.6992593293713233
FIVE_SAT,0.0,100,0.0,0.0,0.0,0.4585929508819177
FIVE_SAT,5.0,100,0.0,2.0,2.0,0.46492704998301604
FIVE_SAT,10.0,100,9.0,13.0,4.0,0.4864407724263717
FIVE_SAT,20.0,100,24.0,35.0,11.0,0.5358211771227982
FIVE_SAT,50.0,100,52.0,69.0,17.0,0.6226954719355805
