parameter_1,parameter_2,correlation,absolute_correlation
accelerometer_bias_y_mps2,accelerometer_bias_z_mps2,-0.3277411790033551,0.3277411790033551
initial_velocity_error_y_mps,fault_duration_min,-0.3241846008247924,0.3241846008247924
accelerometer_bias_x_mps2,gyro_bias_y_degps,-0.2988392984429964,0.2988392984429964
gyro_bias_y_degps,initial_velocity_error_y_mps,-0.28962960167405005,0.28962960167405005
gyro_noise_std_degps,gyro_bias_y_degps,0.2806851794231699,0.2806851794231699
star_tracker_noise_std_deg,initial_velocity_error_y_mps,-0.2803796348950339,0.2803796348950339
gyro_noise_std_degps,initial_position_error_z_m,0.27711093496996525,0.27711093496996525
pseudorange_noise_std_m,accelerometer_bias_z_mps2,0.269349581175101,0.269349581175101
pseudorange_noise_std_m,non_gravitational_acceleration_mps2,-0.26462807471133415,0.26462807471133415
fault_duration_min,dual_outage_duration_min,0.26173900976912035,0.26173900976912035
non_gravitational_acceleration_mps2,fault_magnitude_m,0.23810744819751645,0.23810744819751645
accelerometer_bias_x_mps2,accelerometer_bias_z_mps2,0.23728935345112181,0.23728935345112181
accelerometer_noise_std_mps2,initial_position_error_y_m,-0.2368763031854447,0.2368763031854447
accelerometer_bias_z_mps2,gyro_bias_z_degps,0.2348626312525758,0.2348626312525758
gyro_bias_x_degps,initial_velocity_error_z_mps,0.2335958106639797,0.2335958106639797
accelerometer_noise_std_mps2,gyro_bias_x_degps,0.22976271546511554,0.22976271546511554
pseudorange_noise_std_m,gyro_noise_std_degps,0.22619552810490132,0.22619552810490132
star_tracker_noise_std_deg,fault_duration_min,0.21958693625732628,0.21958693625732628
pseudorange_noise_std_m,initial_position_error_x_m,0.21432783414696294,0.21432783414696294
pseudorange_noise_std_m,accelerometer_noise_std_mps2,-0.20925022905443016,0.20925022905443016
initial_position_error_y_m,star_tracker_outage_duration_min,-0.2045426982933825,0.2045426982933825
pseudorange_noise_std_m,initial_velocity_error_x_mps,0.20406330314487472,0.20406330314487472
gyro_bias_z_degps,star_tracker_outage_duration_min,-0.20028098324229066,0.20028098324229066
accelerometer_bias_y_mps2,gyro_noise_std_degps,0.20000781845288146,0.20000781845288146
initial_position_error_y_m,initial_velocity_error_y_mps,-0.19987820332461143,0.19987820332461143
accelerometer_bias_x_mps2,non_gravitational_acceleration_mps2,0.19606276555050525,0.19606276555050525
gyro_bias_x_degps,initial_velocity_error_x_mps,-0.18603276999350626,0.18603276999350626
accelerometer_bias_x_mps2,gyro_bias_z_degps,-0.1846573505613066,0.1846573505613066
gyro_bias_x_degps,gnss_outage_duration_min,0.18185240740034259,0.18185240740034259
initial_position_error_z_m,initial_velocity_error_y_mps,0.18101437220326436,0.18101437220326436
initial_position_error_x_m,star_tracker_outage_duration_min,-0.1809203733625714,0.1809203733625714
gyro_bias_x_degps,gyro_bias_z_degps,0.17938583763588986,0.17938583763588986
gyro_bias_z_degps,fault_start_min,0.1791841709833922,0.1791841709833922
gyro_bias_y_degps,initial_position_error_x_m,-0.17643229633400598,0.17643229633400598
initial_velocity_error_x_mps,star_tracker_outage_duration_min,0.1751591023721337,0.1751591023721337
initial_position_error_y_m,dual_outage_duration_min,0.17434128522266495,0.17434128522266495
accelerometer_bias_x_mps2,fault_magnitude_m,0.17262679363336284,0.17262679363336284
gyro_bias_x_degps,initial_velocity_error_y_mps,-0.1708977952294816,0.1708977952294816
accelerometer_noise_std_mps2,accelerometer_bias_z_mps2,0.17043377678483834,0.17043377678483834
initial_position_error_x_m,initial_position_error_y_m,0.1703837021551682,0.1703837021551682
initial_position_error_y_m,initial_velocity_error_z_mps,0.1686137680909876,0.1686137680909876
gyro_bias_z_degps,initial_velocity_error_y_mps,-0.16808811063116033,0.16808811063116033
accelerometer_bias_z_mps2,gyro_bias_y_degps,-0.159267949560623,0.159267949560623
initial_velocity_error_z_mps,gnss_outage_duration_min,0.15773822533896775,0.15773822533896775
gyro_noise_std_degps,initial_velocity_error_x_mps,0.15738835448838256,0.15738835448838256
pseudorange_noise_std_m,star_tracker_outage_duration_min,0.1567056172213873,0.1567056172213873
initial_velocity_error_y_mps,gnss_outage_duration_min,0.15452413865336234,0.15452413865336234
gyro_bias_x_degps,star_tracker_outage_duration_min,0.154480365809731,0.154480365809731
gyro_bias_z_degps,non_gravitational_acceleration_mps2,-0.14763602285442018,0.14763602285442018
accelerometer_noise_std_mps2,star_tracker_noise_std_deg,0.14699376856807841,0.14699376856807841
accelerometer_bias_z_mps2,initial_velocity_error_y_mps,0.14676050653605696,0.14676050653605696
star_tracker_outage_duration_min,dual_outage_duration_min,-0.14670169469017383,0.14670169469017383
gyro_bias_z_degps,fault_duration_min,0.14417642457527585,0.14417642457527585
initial_position_error_z_m,star_tracker_outage_duration_min,-0.14318375051342888,0.14318375051342888
accelerometer_noise_std_mps2,gyro_noise_std_degps,-0.14300231373889674,0.14300231373889674
accelerometer_bias_z_mps2,star_tracker_outage_duration_min,0.14229373987935043,0.14229373987935043
initial_position_error_y_m,initial_velocity_error_x_mps,-0.14198177922285882,0.14198177922285882
accelerometer_bias_x_mps2,gnss_outage_duration_min,0.14142943158375085,0.14142943158375085
pseudorange_noise_std_m,star_tracker_noise_std_deg,-0.13931078161768262,0.13931078161768262
gyro_bias_y_degps,fault_duration_min,0.1369595068580253,0.1369595068580253
initial_position_error_x_m,non_gravitational_acceleration_mps2,-0.13552058359138017,0.13552058359138017
initial_position_error_y_m,gnss_outage_duration_min,-0.13339101127125846,0.13339101127125846
initial_position_error_y_m,fault_start_min,-0.13095769616456734,0.13095769616456734
accelerometer_bias_y_mps2,initial_position_error_x_m,-0.129227424811896,0.129227424811896
accelerometer_bias_x_mps2,star_tracker_outage_duration_min,0.12798644214655655,0.12798644214655655
accelerometer_bias_x_mps2,gyro_noise_std_degps,-0.12597757099821397,0.12597757099821397
accelerometer_bias_y_mps2,gyro_bias_x_degps,0.12567318068350267,0.12567318068350267
initial_position_error_x_m,initial_velocity_error_z_mps,-0.125507295703975,0.125507295703975
initial_position_error_x_m,initial_position_error_z_m,-0.12407333859777661,0.12407333859777661
accelerometer_noise_std_mps2,non_gravitational_acceleration_mps2,0.12341644027513204,0.12341644027513204
initial_position_error_x_m,fault_duration_min,-0.12262079529623161,0.12262079529623161
gyro_bias_y_degps,dual_outage_duration_min,-0.12001538498171511,0.12001538498171511
initial_position_error_z_m,fault_duration_min,-0.11777872092029862,0.11777872092029862
initial_position_error_y_m,fault_magnitude_m,0.11541692260099505,0.11541692260099505
initial_velocity_error_x_mps,fault_magnitude_m,0.11353071005522329,0.11353071005522329
gyro_noise_std_degps,fault_magnitude_m,0.11225419074191101,0.11225419074191101
gyro_noise_std_degps,star_tracker_noise_std_deg,-0.11187570305844348,0.11187570305844348
initial_position_error_z_m,initial_velocity_error_x_mps,0.11146477751394672,0.11146477751394672
accelerometer_noise_std_mps2,fault_start_min,0.11115421358362719,0.11115421358362719
gyro_bias_x_degps,initial_position_error_x_m,0.11039345923250278,0.11039345923250278
