parameter,unit,scaling,design_lower,sample_min,sample_mean,sample_std,sample_max,design_upper,description
pseudorange_noise_std_m,m,log,1.5,1.5095422431739665,3.2456230182713037,1.2940477895577016,5.9680207194293,6.0,GNSS pseudorange measurement noise std.
accelerometer_noise_std_mps2,m/s^2,log,2.5e-07,2.519468748801443e-07,5.409799566337362e-07,2.1521966409485423e-07,9.996655222165067e-07,1e-06,Body-frame accelerometer white-noise std.
accelerometer_bias_x_mps2,m/s^2,linear,-5e-06,-4.843776565046044e-06,8.798760045699784e-09,2.905525268920594e-06,4.865740322526362e-06,5e-06,True accelerometer X-body bias.
accelerometer_bias_y_mps2,m/s^2,linear,-5e-06,-4.861142887390958e-06,6.650724054308049e-09,2.902948130070026e-06,4.9133709812479095e-06,5e-06,True accelerometer Y-body bias.
accelerometer_bias_z_mps2,m/s^2,linear,-5e-06,-4.879343584533513e-06,8.911203970963252e-09,2.9116480366190705e-06,4.999173105822648e-06,5e-06,True accelerometer Z-body bias.
gyro_noise_std_degps,deg/s,log,0.00025,0.00025016823555770875,0.0005409098058692549,0.0002151639584725663,0.0009836884043410877,0.001,Gyroscope white-noise std.
gyro_bias_x_degps,deg/s,linear,-0.002,-0.001986009375188061,-7.73818766376212e-07,0.0011645450507125816,0.0019959534657021582,0.002,True gyroscope X-body bias.
gyro_bias_y_degps,deg/s,linear,-0.002,-0.0019488398297799589,1.680113286962572e-06,0.0011622133301398378,0.0019524810286682681,0.002,True gyroscope Y-body bias.
gyro_bias_z_degps,deg/s,linear,-0.002,-0.001943841869905854,-2.3728000833801128e-06,0.001161481773274924,0.001971086690239008,0.002,True gyroscope Z-body bias.
star_tracker_noise_std_deg,deg,log,0.01,0.010150588668206083,0.02482171667901753,0.01139697635177217,0.04925869549347206,0.05,Absolute star-tracker attitude noise std.
initial_position_error_x_m,m,linear,-200.0,-195.93365421410059,-0.20648661055255113,116.36941349227585,198.23102512188387,200.0,Initial navigation position X error.
initial_position_error_y_m,m,linear,-200.0,-193.8451819444462,0.13103258067369605,116.26845845238464,199.86741387083924,200.0,Initial navigation position Y error.
initial_position_error_z_m,m,linear,-200.0,-199.2262714597693,0.09505595801759914,116.04534368813363,195.435575063003,200.0,Initial navigation position Z error.
initial_velocity_error_x_mps,m/s,linear,-0.2,-0.1975626425726882,-7.087905446485345e-05,0.11716506320804282,0.19814416181210442,0.2,Initial navigation velocity X error.
initial_velocity_error_y_mps,m/s,linear,-0.2,-0.19469544764147748,0.00026549139780478333,0.11606854751885583,0.1942217524462887,0.2,Initial navigation velocity Y error.
initial_velocity_error_z_mps,m/s,linear,-0.2,-0.19962649178926992,-2.7734824477851187e-05,0.11649844970919589,0.19557090846918374,0.2,Initial navigation velocity Z error.
non_gravitational_acceleration_mps2,m/s^2,log,1e-05,1.012306625175694e-05,2.1642900293901828e-05,8.595652548462676e-06,3.962946729370286e-05,4e-05,Base synthetic drag-like acceleration.
fault_magnitude_m,m,linear,5.0,5.312294314348987,42.510490322025206,21.78270326741045,79.83308811407078,80.0,Persistent single-satellite pseudorange fault.
fault_start_min,min,linear,100.0,100.04559941535386,104.99193780826162,2.9045967590829185,109.85391983208692,110.0,Start time of low-redundancy GNSS fault.
fault_duration_min,min,linear,5.0,5.076543359828536,7.498641582699232,1.4538640805122915,9.942772033062582,10.0,Duration of low-redundancy GNSS fault.
gnss_outage_duration_min,min,linear,10.0,10.029227984568742,14.997472972092803,2.917075148277265,19.99243215909189,20.0,Duration of early complete GNSS outage.
star_tracker_outage_duration_min,min,linear,5.0,5.001597666801369,9.99909458463709,2.9024165869053062,14.878868682723986,15.0,Duration of star-tracker-only outage.
dual_outage_duration_min,min,linear,10.0,10.065950194565978,14.995017897533668,2.9046023262971494,19.86515944497446,20.0,Duration of simultaneous GNSS/ST outage.
