output_metric,parameter,standardized_coefficient,absolute_coefficient,rank_abs_coefficient,subsystem
protected_mission_rmse,pseudorange_noise_std_m,0.4534801460261129,0.4534801460261129,1,GNSS measurement
protected_mission_rmse,accelerometer_noise_std_mps2,-0.0476861887242529,0.0476861887242529,10,Accelerometer
protected_mission_rmse,accelerometer_bias_x_mps2,0.03595504114236993,0.03595504114236993,13,Accelerometer
protected_mission_rmse,accelerometer_bias_y_mps2,0.1707133811789068,0.1707133811789068,3,Accelerometer
protected_mission_rmse,accelerometer_bias_z_mps2,0.0675464276014052,0.0675464276014052,7,Accelerometer
protected_mission_rmse,gyro_noise_std_degps,0.03606536005684709,0.03606536005684709,12,Gyroscope
protected_mission_rmse,gyro_bias_x_degps,0.03274201734768958,0.03274201734768958,15,Gyroscope
protected_mission_rmse,gyro_bias_y_degps,-0.09327400108162794,0.09327400108162794,6,Gyroscope
protected_mission_rmse,gyro_bias_z_degps,0.0015768547866119617,0.0015768547866119617,23,Gyroscope
protected_mission_rmse,star_tracker_noise_std_deg,0.02259494938990901,0.02259494938990901,16,Star tracker
protected_mission_rmse,initial_position_error_x_m,0.12423513890546055,0.12423513890546055,4,Initial state
protected_mission_rmse,initial_position_error_y_m,-0.014232163548783825,0.014232163548783825,18,Initial state
protected_mission_rmse,initial_position_error_z_m,-0.03310673456331793,0.03310673456331793,14,Initial state
protected_mission_rmse,initial_velocity_error_x_mps,0.05787325081707663,0.05787325081707663,8,Initial state
protected_mission_rmse,initial_velocity_error_y_mps,-0.03762051862391079,0.03762051862391079,11,Initial state
protected_mission_rmse,initial_velocity_error_z_mps,-0.01392276670200359,0.01392276670200359,19,Initial state
protected_mission_rmse,non_gravitational_acceleration_mps2,0.05003828272684483,0.05003828272684483,9,Orbital disturbance
protected_mission_rmse,fault_magnitude_m,-0.011689233148261965,0.011689233148261965,20,GNSS fault
protected_mission_rmse,fault_start_min,0.005167264743309076,0.005167264743309076,22,GNSS fault
protected_mission_rmse,fault_duration_min,-0.020590117681316467,0.020590117681316467,17,GNSS fault
protected_mission_rmse,gnss_outage_duration_min,0.172437149975303,0.172437149975303,2,Mission outage
protected_mission_rmse,star_tracker_outage_duration_min,0.09360249584281931,0.09360249584281931,5,Mission outage
protected_mission_rmse,dual_outage_duration_min,0.011388794783577912,0.011388794783577912,21,Mission outage
protected_low_redundancy_rmse,pseudorange_noise_std_m,0.11203334496352284,0.11203334496352284,1,GNSS measurement
protected_low_redundancy_rmse,accelerometer_noise_std_mps2,0.016178927001705114,0.016178927001705114,11,Accelerometer
protected_low_redundancy_rmse,accelerometer_bias_x_mps2,0.004582864468354595,0.004582864468354595,21,Accelerometer
protected_low_redundancy_rmse,accelerometer_bias_y_mps2,0.02600054180512724,0.02600054180512724,7,Accelerometer
protected_low_redundancy_rmse,accelerometer_bias_z_mps2,0.0037336237973034673,0.0037336237973034673,23,Accelerometer
protected_low_redundancy_rmse,gyro_noise_std_degps,-0.010959705659119766,0.010959705659119766,15,Gyroscope
protected_low_redundancy_rmse,gyro_bias_x_degps,0.03729881141500535,0.03729881141500535,5,Gyroscope
