output_metric,rank,parameter,spearman_rho,absolute_rho,p_value,q_value,fdr_significant_0p10,subsystem
protected_mission_rmse,1,pseudorange_noise_std_m,0.8418956043956043,0.8418956043956043,2.92729410750415e-18,6.732776447259545e-17,True,GNSS measurement
protected_mission_rmse,2,accelerometer_bias_z_mps2,0.2533882783882784,0.2533882783882784,0.04335700454969773,0.41722361774256944,False,Accelerometer
protected_mission_rmse,3,initial_position_error_x_m,0.2416208791208791,0.2416208791208791,0.054420471879465575,0.41722361774256944,False,Initial state
protected_mission_rmse,4,accelerometer_bias_y_mps2,0.19038461538461537,0.19038461538461537,0.13184186444745266,0.5711987264874084,False,Accelerometer
protected_mission_rmse,5,gyro_noise_std_degps,0.18690476190476185,0.18690476190476185,0.13918455835795665,0.5711987264874084,False,Gyroscope
protected_low_redundancy_rmse,1,pseudorange_noise_std_m,0.5195970695970695,0.5195970695970695,1.0837110422457832e-05,0.00024925353971653016,True,GNSS measurement
protected_low_redundancy_rmse,2,gyro_bias_x_degps,0.21657509157509156,0.21657509157509156,0.08562916592652,0.9480549197518298,False,Gyroscope
protected_low_redundancy_rmse,3,star_tracker_outage_duration_min,0.19207875457875453,0.19207875457875453,0.1283749052978402,0.9480549197518298,False,Mission outage
protected_low_redundancy_rmse,4,fault_magnitude_m,0.143040293040293,0.143040293040293,0.2594979417700109,0.9480549197518298,False,GNSS fault
protected_low_redundancy_rmse,5,gnss_outage_duration_min,-0.1368131868131868,0.1368131868131868,0.28102821134544825,0.9480549197518298,False,Mission outage
protected_dual_outage_rmse,1,pseudorange_noise_std_m,0.42838827838827837,0.42838827838827837,0.0004132828440360641,0.009505505412829475,True,GNSS measurement
protected_dual_outage_rmse,2,fault_duration_min,0.28209706959706954,0.28209706959706954,0.023922103592056865,0.22658153874003897,False,GNSS fault
protected_dual_outage_rmse,3,initial_velocity_error_x_mps,0.25879120879120876,0.25879120879120876,0.03893769132874864,0.22658153874003897,False,Initial state
protected_dual_outage_rmse,4,gyro_bias_z_degps,0.25819597069597067,0.25819597069597067,0.03940548499826765,0.22658153874003897,False,Gyroscope
protected_dual_outage_rmse,5,gyro_noise_std_degps,0.17989926739926737,0.17989926739926737,0.15489173062518963,0.6387567126402396,False,Gyroscope
protected_nis_mean,1,star_tracker_outage_duration_min,0.23168498168498167,0.23168498168498167,0.06546037146893494,0.9208628223900464,False,Mission outage
protected_nis_mean,2,dual_outage_duration_min,0.21959706959706957,0.21959706959706957,0.08124584184876278,0.9208628223900464,False,Mission outage
protected_nis_mean,3,gyro_bias_x_degps,0.18891941391941391,0.18891941391941391,0.1348969965055259,0.9208628223900464,False,Gyroscope
protected_nis_mean,4,star_tracker_noise_std_deg,0.1658424908424908,0.1658424908424908,0.19030367467535256,0.9208628223900464,False,Star tracker
protected_nis_mean,5,non_gravitational_acceleration_mps2,0.1514194139194139,0.1514194139194139,0.23232865139194606,0.9208628223900464,False,Orbital disturbance
gain_mission_rmse_m,1,fault_duration_min,0.45098959469065847,0.45098959469065847,0.00018405667181264164,0.004233303451690758,True,GNSS fault
gain_mission_rmse_m,2,fault_magnitude_m,0.3795144175433802,0.3795144175433802,0.00198226502785247,0.022796047820303405,True,GNSS fault
gain_mission_rmse_m,3,pseudorange_noise_std_m,0.34132716722894707,0.34132716722894707,0.005776224464647083,0.0442843875622943,True,GNSS measurement
gain_mission_rmse_m,4,initial_velocity_error_y_mps,-0.3224395883863767,0.3224395883863767,0.009363772148855308,0.05384168985591802,True,Initial state
gain_mission_rmse_m,5,star_tracker_outage_duration_min,0.1909591456071264,0.1909591456071264,0.13065827814745645,0.6010280794782996,False,Mission outage
gain_dual_rmse_m,1,fault_start_min,0.47734062893041423,0.47734062893041423,6.656436033381371e-05,0.0015309802876777153,True,GNSS fault
gain_dual_rmse_m,2,fault_duration_min,0.44480820525127185,0.44480820525127185,0.0002309250081846949,0.0026556375941239915,True,GNSS fault
gain_dual_rmse_m,3,initial_velocity_error_y_mps,-0.28292448404422343,0.28292448404422343,0.02349512774138408,0.1801293126839446,False,Initial state
gain_dual_rmse_m,4,accelerometer_noise_std_mps2,0.2454240547786111,0.2454240547786111,0.05061800328951549,0.2910535189147141,False,Accelerometer
gain_dual_rmse_m,5,accelerometer_bias_y_mps2,-0.2329010176551129,0.2329010176551129,0.06401951872884261,0.29448978615267596,False,Accelerometer
fdir_pd,1,fault_magnitude_m,0.6856161650518887,0.6856161650518887,4.086473651533666e-10,9.398889398527431e-09,True,GNSS fault
fdir_pd,2,pseudorange_noise_std_m,-0.3619025820134644,0.3619025820134644,0.0032984188530217336,0.03267836845002853,True,GNSS measurement
fdir_pd,3,non_gravitational_acceleration_mps2,0.35265296835284315,0.35265296835284315,0.00426239588478633,0.03267836845002853,True,Orbital disturbance
fdir_pd,4,accelerometer_bias_z_mps2,-0.17501001688561535,0.17501001688561535,0.16660753411934423,0.668215554539512,False,Accelerometer
fdir_pd,5,star_tracker_outage_duration_min,-0.16992730838893733,0.16992730838893733,0.17946256931230098,0.668215554539512,False,Mission outage
hybrid_pd,1,fault_magnitude_m,0.8403841622702296,0.8403841622702296,3.839319057724456e-18,8.830433832766249e-17,True,GNSS fault
hybrid_pd,2,non_gravitational_acceleration_mps2,0.3139821204385291,0.3139821204385291,0.01151730822301868,0.13244904456471482,False,Orbital disturbance
hybrid_pd,3,gyro_bias_x_degps,-0.2272468548583243,0.2272468548583243,0.07094169090182299,0.5438862969139763,False,Gyroscope
hybrid_pd,4,pseudorange_noise_std_m,-0.16300446047912526,0.16300446047912526,0.1981077742682958,0.9287901308108788,False,GNSS measurement
hybrid_pd,5,star_tracker_outage_duration_min,-0.16165029782518714,0.16165029782518714,0.20191089800236495,0.9287901308108788,False,Mission outage
hybrid_pfa,1,pseudorange_noise_std_m,0.3912307728774329,0.3912307728774329,0.0013905314907699496,0.03198222428770884,True,GNSS measurement
hybrid_pfa,2,initial_velocity_error_z_mps,0.2005722299500411,0.2005722299500411,0.11202690484909844,0.9597753477090696,False,Initial state
hybrid_pfa,3,star_tracker_outage_duration_min,0.17424407752923468,0.17424407752923468,0.16850025519307305,0.9597753477090696,False,Mission outage
hybrid_pfa,4,accelerometer_bias_z_mps2,0.1550899983871136,0.1550899983871136,0.22107050876377443,0.9597753477090696,False,Accelerometer
hybrid_pfa,5,star_tracker_noise_std_deg,0.153302284333849,0.153302284333849,0.2265050479019333,0.9597753477090696,False,Star tracker
