scenario_id,scenario_index,altitude_km,inclination_deg,initial_true_anomaly_deg,semi_major_axis_km,orbital_period_min,number_of_orbits,epochs,mean_geometry_step_s,visible_satellites_min,visible_satellites_mean,visible_satellites_max,availability_ge4_percent,availability_ge6_percent,pdop_availability_percent,pdop_min,pdop_mean,pdop_p90,pdop_p95,pdop_max,longest_below4_s,longest_below6_s,longest_below4_min,longest_below6_min,geometry_failures
AURORA17_004,4,400.0,0.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.970350404312669,16,100.0,100.0,100.0,0.7993261263531676,1.3230669621742168,1.6959622671434278,1.702181954383486,1.7158627932838089,0.0,0.0,0.0,0.0,0
AURORA17_003,3,400.0,0.0,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.954177897574125,16,100.0,100.0,100.0,0.7993506432823206,1.323854528329204,1.6953250741842418,1.7007377914796602,1.7168163686791198,0.0,0.0,0.0,0.0,0
AURORA17_005,5,400.0,0.0,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.9811320754717,16,100.0,100.0,100.0,0.8006078927863338,1.316541655857929,1.693962809693876,1.698431827394861,1.712232617768406,0.0,0.0,0.0,0.0,0
AURORA17_000,0,400.0,0.0,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.986522911051212,16,100.0,100.0,100.0,0.8023213469342089,1.3196410856875775,1.6925045398792358,1.6975448114900464,1.7097731575067965,0.0,0.0,0.0,0.0,0
AURORA17_002,2,400.0,0.0,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.964959568733152,16,100.0,100.0,100.0,0.8004834328680145,1.318109838042956,1.6926758875298913,1.696543662097273,1.709157446999037,0.0,0.0,0.0,0.0,0
AURORA17_001,1,400.0,0.0,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.986522911051212,16,100.0,100.0,100.0,0.8018902671187541,1.3210964061303323,1.691827889142304,1.696410161024592,1.705972449524771,0.0,0.0,0.0,0.0,0
AURORA17_010,10,400.0,30.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.06199460916442,16,100.0,100.0,100.0,0.7971887415170885,1.098259510434476,1.6766490247054024,1.6959294306011734,1.7026364990761884,0.0,0.0,0.0,0.0,0
AURORA17_040,40,550.0,0.0,240.0,6928.137,95.64988025024664,2.0,384,29.96863088780573,12,13.557291666666666,16,100.0,100.0,100.0,0.7902318513655306,1.2262294731144494,1.6870751291046198,1.6934892089405345,1.703802379686578,0.0,0.0,0.0,0.0,0
AURORA17_041,41,550.0,0.0,300.0,6928.137,95.64988025024664,2.0,384,29.96863088780573,12,13.536458333333334,18,100.0,100.0,100.0,0.7382238868683954,1.222229449669519,1.674089878383506,1.6900958477027874,1.6981247145915943,0.0,0.0,0.0,0.0,0
AURORA17_037,37,550.0,0.0,60.0,6928.137,95.64988025024664,2.0,384,29.96863088780573,12,13.572916666666666,16,100.0,100.0,100.0,0.7973842621487527,1.2223376515258089,1.6818617053340787,1.6889213555228804,1.698313696737492,0.0,0.0,0.0,0.0,0
AURORA17_039,39,550.0,0.0,180.0,6928.137,95.64988025024664,2.0,384,29.96863088780573,12,13.505208333333334,18,100.0,100.0,100.0,0.7376077459719804,1.2350051070829748,1.6849670226341296,1.6888361235149096,1.7055284886574742,0.0,0.0,0.0,0.0,0
AURORA17_076,76,700.0,0.0,240.0,7078.137,98.77298451890736,2.0,396,30.0069826386554,12,14.04040404040404,18,100.0,100.0,100.0,0.7365684529467197,1.1456463546393931,1.6846243495239028,1.6880793697409346,1.6933025383137013,0.0,0.0,0.0,0.0,0
