geometry_name,source_scenario_id,replicate_index,scenario_seed,altitude_km,inclination_deg,initial_true_anomaly_deg,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,strong_detection_rate,strong_isolation_rate,low_detection_rate,false_alarm_rate,attitude_rmse_deg,permissive_mission_rmse,permissive_mission_max,permissive_final_error,permissive_final_sigma,permissive_strong_fault_rmse,permissive_gnss_outage_rmse,permissive_star_tracker_outage_rmse,permissive_low_redundancy_rmse,permissive_post_low_rmse,permissive_dual_outage_rmse,permissive_post_dual_rmse,permissive_nis_mean,permissive_nis_coverage,permissive_updates,protected_mission_rmse,protected_mission_max,protected_final_error,protected_final_sigma,protected_strong_fault_rmse,protected_gnss_outage_rmse,protected_star_tracker_outage_rmse,protected_low_redundancy_rmse,protected_post_low_rmse,protected_dual_outage_rmse,protected_post_dual_rmse,protected_nis_mean,protected_nis_coverage,protected_updates,gain_mission_rmse_m,gain_low_rmse_m,gain_dual_rmse_m
BEST_MEAN_PDOP,AURORA17_088,0,170200,700.0,60.0,240.0,0.0,12,14.543939393939393,100.0,100.0,100.0,0.6666666666666667,0.036046435071874654,0.5565655780563002,1.9123650724818624,0.2605942704527282,0.28050862886701755,0.5303371226060161,0.9693577831882045,0.32133120230824314,0.20076882404601287,0.437203199570884,0.2815936273302396,0.2700551639470939,3.1094935171816904,94.99241274658573,659,0.5565655780563002,1.9123650724818624,0.2605942704527282,0.28050862886701755,0.5303371226060161,0.9693577831882045,0.32133120230824314,0.20076882404601287,0.437203199570884,0.2815936273302396,0.2700551639470939,3.1094935171816904,94.99241274658573,659,0.0,0.0,0.0
MEDIAN_PDOP,AURORA17_056,0,170200,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,1.0,0.03605122060767165,0.5628246228698922,2.359599001295986,0.38062757945315795,0.29280303149041126,0.9544154254330247,0.6814334208532763,0.4276437863809972,0.24923933913900972,0.24069508005132823,0.48448941776026716,0.37068216004844573,3.0793569857056604,94.6969696969697,660,0.5628246228698922,2.359599001295986,0.38062757945315795,0.29280303149041126,0.9544154254330247,0.6814334208532763,0.4276437863809972,0.24923933913900972,0.24069508005132823,0.48448941776026716,0.37068216004844573,3.0793569857056604,94.6969696969697,660,0.0,0.0,0.0
REFERENCE_AURORA,ORIGINAL_REFERENCE,0,170200,550.0,97.6,25.0,0.0,12,13.98030303030303,100.0,100.0,23.333333333333332,0.6666666666666667,0.03605955370013328,3.075620336245701,13.813256636525809,0.6315532520232668,0.28768270007786456,0.6297473966624298,0.7714232894086842,0.41331581792843713,8.727631960600272,5.883785543227078,3.2195801604279386,1.764717959376846,15.49778375286586,84.27762039660055,706,0.4964422611123737,1.2044689638781938,0.15125786296891974,0.2879365328130275,0.6297473966624298,0.7714232894086842,0.41331581792843713,0.46635856226394906,0.26786571282566035,0.1761421341832054,0.18298403844916072,2.886760849461775,95.3030303030303,660,2.5791780751333273,8.261273398336323,3.043438026244733
WORST_PDOP_P95,AURORA17_004,0,170200,400.0,0.0,240.0,0.0,12,13.206060606060607,100.0,100.0,100.0,1.1666666666666667,0.03600537274723668,0.7600246656355578,2.4599611180764493,0.7053277033967197,0.28920137420636755,0.5963391801438472,1.5578873885459552,0.7019394970676879,0.23376789640264925,0.27340326286864897,0.4458247129549256,0.7297727029034292,2.9310008120059807,95.44072948328267,658,0.7600246656355578,2.4599611180764493,0.7053277033967197,0.28920137420636755,0.5963391801438472,1.5578873885459552,0.7019394970676879,0.23376789640264925,0.27340326286864897,0.4458247129549256,0.7297727029034292,2.9310008120059807,95.44072948328267,658,0.0,0.0,0.0
BEST_MEAN_PDOP,AURORA17_088,1,170201,700.0,60.0,240.0,0.0,12,14.543939393939393,100.0,100.0,100.0,0.5,0.038787055005029075,0.6837718186291065,2.0820189023146973,0.10944715188795892,0.28043323676413007,1.686545806242385,0.9646695555521382,0.19035240965835004,0.3267729323128707,0.37794887565132895,0.5185675410726269,0.46109898692252,3.015789562011247,95.45454545454545,660,0.6837718186291065,2.0820189023146973,0.10944715188795892,0.28043323676413007,1.686545806242385,0.9646695555521382,0.19035240965835004,0.3267729323128707,0.37794887565132895,0.5185675410726269,0.46109898692252,3.015789562011247,95.45454545454545,660,0.0,0.0,0.0
MEDIAN_PDOP,AURORA17_056,1,170201,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,1.6666666666666667,0.038782147692676336,0.5209847796874871,1.3427615074144934,0.17438582776244874,0.29275284048410727,0.7632131135329396,0.30143683324910797,0.23746305999609696,0.9711839418904376,0.4671766135069017,0.47132255893910374,0.24714856685750056,3.1787423091586002,94.0909090909091,660,0.5209847796874871,1.3427615074144934,0.17438582776244874,0.29275284048410727,0.7632131135329396,0.30143683324910797,0.23746305999609696,0.9711839418904376,0.4671766135069017,0.47132255893910374,0.24714856685750056,3.1787423091586002,94.0909090909091,660,0.0,0.0,0.0
REFERENCE_AURORA,ORIGINAL_REFERENCE,1,170201,550.0,97.6,25.0,0.0,12,13.98030303030303,100.0,100.0,21.666666666666668,1.0,0.03878463421005526,3.2889053210444015,14.875751974282407,0.9403499861882553,0.2875512875938524,0.47619409886557773,1.0560521185131566,0.3896791723321988,9.439783221976349,6.455217797008316,3.069804870652905,1.7629867643751165,16.161592730227223,82.57790368271955,706,0.6265557697367203,1.7973569617755523,0.2898893132272122,0.2878058790250812,0.47619409886557773,1.0560521185131566,0.3896791723321988,0.3569319613470235,0.6849143740105998,0.840266114375466,0.547667485032552,3.0390344407269065,94.53717754172989,659,2.662349551307681,9.082851260629326,2.2295387562774387
WORST_PDOP_P95,AURORA17_004,1,170201,400.0,0.0,240.0,0.0,12,13.206060606060607,100.0,100.0,100.0,0.5,0.03878786258540232,0.5614231205407639,1.9111694773058352,0.12781342618997552,0.2889205008751469,1.147876146831631,0.5541379838378891,0.27443306592198896,0.3836441474121585,0.2885677967265428,0.4177136946073673,0.24122496444058078,3.0136532989594715,95.59939301972686,659,0.5614231205407639,1.9111694773058352,0.12781342618997552,0.2889205008751469,1.147876146831631,0.5541379838378891,0.27443306592198896,0.3836441474121585,0.2885677967265428,0.4177136946073673,0.24122496444058078,3.0136532989594715,95.59939301972686,659,0.0,0.0,0.0
BEST_MEAN_PDOP,AURORA17_088,2,170202,700.0,60.0,240.0,0.0,12,14.543939393939393,100.0,100.0,100.0,0.8333333333333334,0.04379038663946524,0.5418142886890494,1.6882878567088038,0.24226380558979305,0.2804323082129704,0.7323797319974397,1.075452327764992,0.4473677749914918,0.10370161193794195,0.21390141221979977,0.3755913105378647,0.3092220297622401,3.0395486977468487,94.68892261001517,659,0.5418142886890494,1.6882878567088038,0.24226380558979305,0.2804323082129704,0.7323797319974397,1.075452327764992,0.4473677749914918,0.10370161193794195,0.21390141221979977,0.3755913105378647,0.3092220297622401,3.0395486977468487,94.68892261001517,659,0.0,0.0,0.0
MEDIAN_PDOP,AURORA17_056,2,170202,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,2.0,0.04377590605145435,0.7266738055293807,3.1592235166035296,0.1371077513398758,0.29285782921402564,0.9760464941355689,1.862457033510001,0.14853948266632164,0.27197777183470656,0.30632543726002415,0.15465470450012733,0.22620394398781027,2.9322363116689765,95.2887537993921,658,0.7266738055293807,3.1592235166035296,0.1371077513398758,0.29285782921402564,0.9760464941355689,1.862457033510001,0.14853948266632164,0.27197777183470656,0.30632543726002415,0.15465470450012733,0.22620394398781027,2.9322363116689765,95.2887537993921,658,0.0,0.0,0.0
