phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg
PHASE_000,0.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189256545362,10.0,1.3580246913580247,0.3252903623194873,0.437566882139694,0.30780233764821996,0.30025072048085427,0.2968042621892524,0.3893930073403114,1.13195415856203,0.26285265483899617,0.11923525404963466,2.9087387286773634,95.06172839506173,0.03987133663670343,0.050331123328457586
PHASE_045,45.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178043804203307,10.0,1.2345679012345678,0.3455802318196412,0.46117039564592877,0.8362784591034035,0.3503434992902484,1.3997475185090376,0.44389677110582304,1.307526550084018,0.5050760657581517,0.09641588245476801,2.981629573309068,93.95061728395062,0.03988469916591773,0.050530269369135405
PHASE_090,90.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904928636332,10.0,0.7407407407407408,0.3549239727635582,0.4999251787190762,0.8967133243634293,0.4681626689881589,1.3924048669614477,0.4302200434817654,1.227611728800211,0.3736550619023676,0.20034639735595894,3.053005470258264,96.66666666666667,0.03987046168924755,0.05071190009746606
PHASE_135,135.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946252067178224,10.0,0.8641975308641975,0.6690477899757984,0.4187399393359928,0.3834451086380272,0.2308726697287317,0.5943372450452237,0.422131030344802,1.244102133457492,0.3578287024659749,0.33825871970530985,3.1066591472467273,93.94313967861557,0.03983657503763874,0.05074821743919481
PHASE_180,180.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.96327016824453,10.0,0.7407407407407408,0.31890974357121143,0.4839086577566916,0.3208696401732346,0.24219285237293883,0.37458531474762957,0.39361973642494713,1.1313690416238962,0.47448998031757145,0.09699901939937561,3.006999798183166,94.69135802469137,0.03980736012379352,0.05052532859033386
PHASE_225,225.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169834385522209,10.0,1.1111111111111112,0.5778065810225307,0.5770008116802889,0.540016937386842,0.2136173540013396,0.8678590315777984,0.44660117813111305,1.2980915455037767,0.3701451202229728,0.0711944714131168,2.9854511040875513,95.18518518518519,0.03979885569310431,0.05018681658674405
PHASE_270,270.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711831764553,10.0,0.9876543209876543,0.594312959923345,0.49360553116716904,0.48351821717929816,0.3121298494254394,0.6326590356702331,0.4251120808149357,1.2113937573656626,0.5222795452149878,0.13299496943785485,2.9551952558931633,95.43209876543209,0.03981173649990702,0.05001573948924477
PHASE_315,315.0,0,170300,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935420256843383,10.0,0.7407407407407408,0.2483564951299605,0.3624847361951355,0.34627640351010286,0.1260772027388893,0.590820917137252,0.40260262547631953,1.2021845322205762,0.2275449426262928,0.15805834495812576,3.0691652852471365,95.43209876543209,0.039840546718273404,0.0501171433903075
PHASE_000,0.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189262707325,10.0,0.8641975308641975,0.286144684832828,0.5652892890550099,0.9503986575849006,0.4952037654184987,1.3939013679971044,0.38938254831644,1.1317904947453887,0.3438165189236537,0.23010951473719762,2.9970395079325947,94.81481481481482,0.05898980205064006,0.07964147033274717
PHASE_045,45.0,1,170301,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.917804362726425,10.0,0.49382716049382713,0.40218206008828045,0.42223481900647014,0.2797865572462225,0.19563282662150772,0.3305732751202943,0.4438646411346655,1.3073984245230728,0.4398626229220803,0.29032716850314316,3.0269152103477306,94.69135802469137,0.05889582533583432,0.07924313098278198
