age_a_min,age_b_min,median_a_m,median_b_m,wilcoxon_statistic,p_raw,p_holm,significant_holm_0p05
5.0,15.0,4.426091289103127,1.767503681918511,0.0,0.0078125,0.078125,False
5.0,30.0,4.426091289103127,1.1833241005365118,0.0,0.0078125,0.078125,False
5.0,45.0,4.426091289103127,1.2046081778434554,0.0,0.0078125,0.078125,False
5.0,60.0,4.426091289103127,0.6762643777384536,0.0,0.0078125,0.078125,False
15.0,30.0,1.767503681918511,1.1833241005365118,4.0,0.0546875,0.21875,False
15.0,45.0,1.767503681918511,1.2046081778434554,8.0,0.1953125,0.4453125,False
15.0,60.0,1.767503681918511,0.6762643777384536,1.0,0.015625,0.09375,False
30.0,45.0,1.1833241005365118,1.2046081778434554,12.0,0.4609375,0.4609375,False
30.0,60.0,1.1833241005365118,0.6762643777384536,3.0,0.0390625,0.1953125,False
45.0,60.0,1.2046081778434554,0.6762643777384536,7.0,0.1484375,0.4453125,False
