phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,experiment_post_recovery_end_min,experiment_estimator_start_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,0,170600,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189164900846,10.0,1.264367816091954,0.30556406836578953,0.4101317525122242,0.3066462444091411,0.28256866759790017,0.3327492216169413,0.389631281372909,0.5607078507753657,0.3049129065558778,0.19364157678085114,2.9530923409389778,95.05747126436782,0.042656226864153504,0.06404388695625846,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,0,170600,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189164900846,10.0,0.9523809523809524,0.30556406836578953,0.45337014609388443,0.3409647027369694,0.28256866759790017,0.4112400082127341,0.389631281372909,0.8066158125855679,0.33873230286764966,0.1790099923869227,2.8862616805554278,94.76190476190476,0.06652728103711412,0.0880542728327537,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,0,170600,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189164900846,10.0,1.728395061728395,0.30556406836578953,0.4181149810423419,0.38430057391651506,0.28256866759790017,0.5047682865162102,0.389631281372909,1.132323085537779,0.33808022405398447,0.05648707501609017,2.959184980714873,95.80246913580247,0.0805104859062055,0.13349006249096335,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,0,170600,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189164900846,10.0,1.153846153846154,0.30556406836578953,0.4776461595159141,0.43513337824084103,0.28256866759790017,0.6146281587148689,0.389631281372909,1.5447008233477002,0.5353934988280106,0.48647348846305294,2.9620589223457454,95.76923076923077,0.09673307435151221,0.12556761875825137,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,0,170600,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189164900846,10.0,0.8333333333333334,0.30556406836578953,0.46706889663436846,0.5686063113428111,0.28256866759790017,0.9184753375990361,0.389631281372909,2.629031215733701,0.3282826510358696,0.07931439866686343,2.8701689569802764,95.97222222222223,0.10276409565844678,0.10842963505102955,60.0,90.0,30.0,105.0,0.0,0.0
PHASE_000,0.0,1,170601,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189144639773,10.0,0.9195402298850575,0.3205611048582237,0.47582706728196755,0.6207987872494106,0.5338913212631491,0.7127622722052326,0.38967148699289567,0.5607722894251254,0.2989076602086219,0.11369457415495778,2.917464816035638,94.59770114942529,0.044691371176481566,0.06050385549447739,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,1,170601,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189144639773,10.0,0.9523809523809524,0.3205611048582237,0.49618974948224814,0.7391580103899363,0.5338913212631491,0.9679515917667358,0.38967148699289567,0.8067223535411132,0.3537598347139024,0.10238159324358903,2.986308626795573,94.64285714285714,0.05372422200841895,0.07236631298575287,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,1,170601,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189144639773,10.0,0.7407407407407408,0.3205611048582237,0.5964750864233263,0.8937619246730103,0.5338913212631491,1.3099601598075215,0.38967148699289567,1.1325090332843872,0.5584067533910608,0.47568853337945993,2.995911293567097,94.93827160493828,0.06384061650627716,0.09557535876705171,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,1,170601,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189144639773,10.0,0.641025641025641,0.3205611048582237,0.6093280943757684,1.0876201867995416,0.5338913212631491,1.7368684068800337,0.38967148699289567,1.5450066539086205,0.30037951279004926,0.391555100166555,3.0691576602691484,93.58974358974359,0.07755958059447274,0.14859383158021705,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,1,170601,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189144639773,10.0,0.8333333333333334,0.3205611048582237,0.8750532547619468,1.5877136639981635,0.5338913212631491,2.809657308141628,0.38967148699289567,2.629715093314766,0.5385628682633085,0.07613224309147862,2.9576191324431123,94.44444444444444,0.11547091434426514,0.1446043678531908,60.0,90.0,30.0,105.0,0.0,0.0
