envelope_estimator_age_min,envelope_outage_duration_min,total_runs,source_count,sources,outage_start_sigma_mean_m,outage_rmse_mean_m,outage_end_error_mean_m,outage_end_sigma_mean_m,post_recovery_rmse_mean_m,rmse_ratio_to_reference,end_error_ratio_to_reference,empirical_severity_index,empirical_degradation_band,band_is_certification_limit,reference_estimator_age_min,reference_outage_duration_min,reference_outage_rmse_m,reference_end_error_m
5.0,15.0,16,2,"017-F,017-H",0.9514765686813885,3.624410967405025,6.004035933203449,8.095612256703566,0.7470075066724896,9.15751731897436,13.100404918897869,13.100404918897869,HIGH_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
5.0,30.0,8,1,017-H,0.9561333214023765,5.6670649998565485,10.48168335265501,24.188896679607396,0.8309722375126576,14.318532404479509,22.870332169745634,22.870332169745634,HIGH_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
15.0,15.0,8,1,017-F,0.6739779731875539,2.2170399291046503,3.9562442625827914,5.685974605699907,0.686978652580593,5.601622368494706,8.632260428569431,8.632260428569431,HIGH_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
30.0,15.0,16,2,"017-F,017-H",0.5632080936125522,1.418508314245111,2.340902043573861,2.6698153842292007,0.6155491394948742,3.5840346394573483,5.107691723945238,5.107691723945238,HIGH_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
30.0,30.0,8,1,017-H,0.564178582854147,2.624130717261357,4.829205950919301,7.44026406083127,0.6044214982941867,6.630187003263225,10.537004457939563,10.537004457939563,HIGH_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
45.0,15.0,8,1,017-F,0.46161417712613967,1.2400227603287532,2.0449785408318077,1.621096577479705,0.5341632266725709,3.1330690712933107,4.4620064292419706,4.4620064292419706,MODERATE_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
60.0,5.0,8,1,017-G,0.389586402164173,0.39578532490408197,0.4583091874162135,0.5606908084961468,0.44651732821799733,1.0,1.0,1.0,LOW_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
60.0,10.0,8,1,017-G,0.389586402164173,0.48474008987909967,0.6589873619899336,0.8066371212297134,0.3723387469963343,1.2247550866030108,1.4378663576549124,1.4378663576549124,LOW_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
60.0,15.0,24,3,"017-F,017-G,017-H",0.3898495405821874,0.6709520984519722,0.9940187126308729,1.1329865780332866,0.4406609191389372,1.6952424868571783,2.168882361348246,2.168882361348246,MODERATE_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
60.0,20.0,8,1,017-G,0.389586402164173,0.7808902101130641,1.3334292180183311,1.5448102133041237,0.5225275818862345,1.973014563645865,2.909453387866251,2.909453387866251,MODERATE_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
60.0,30.0,16,2,"017-G,017-H",0.38991847447891054,1.1313286262623645,2.0372124389879422,2.630666790014346,0.46644152585411924,2.8584400559483614,4.4450613143346125,4.4450613143346125,MODERATE_DEGRADATION,False,60.0,5.0,0.39578532490408197,0.4583091874162135
